ID,Title,Abstract,Year,Journal/Conference,Journal/Conf/BC/WP/Other,Embedding_Techniques,Embedding_Techniques(formatted),Category,Relation,Relation (Original or Varient/Enhancement),PDF Stored?,Number_Authors,List of Authors,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Affiliation_1,Affiliation_2,Affiliation_3,Affiliation_4,Affiliation_5,Affiliation_6,Affiliation_7,Affiliation_8,Affiliation_9,Affiliation_10,Affiliation_11,Affiliation_12,Country_1,Country_2,Country_3 ,Country_4,Country_5,Country_6,Country_7,Country_8,Country_9 ,Country_10,Country_11,Country_12,URL
sutskever2014sequence,Sequence to Sequence Learning with Neural Networks,"Deep Neural Networks (DNNs) are powerful models that have achieved excellent performance on difficult learning tasks. Although DNNs work well whenever large labeled training sets are available, they cannot be used to map sequences to sequences. In this paper, we present a general end-to-end approach to sequence learning that makes minimal assumptions on the sequence structure. Our method uses a multilayered Long Short-Term Memory (LSTM) to map the input sequence to a vector of a fixed dimensionality, and then another deep LSTM to decode the target sequence from the vector. Our main result is that on an English to French translation task from the WMT-14 dataset, the translations produced by the LSTM achieve a BLEU score of 34.8 on the entire test set, where the LSTM’s BLEU score was penalized on out-of-vocabulary words. Additionally, the LSTM did not have difficulty on long sentences. For comparison, a phrase-based SMT system achieves a BLEU score of 33.3 on the same dataset. When we used the LSTM to rerank the 1000 hypotheses produced by the aforementioned SMT system, its BLEU score increases to 36.5, which is close to the previous state of the art. The LSTM also learned sensible phrase and sentence representations that are sensitive to word order and are relatively invariant to the active and the passive voice. Finally, we found that reversing the order of the words in all source sentences (but not target sentences) improved the LSTM’s performance markedly, because doing so introduced many short term dependencies between the source and the target sentence which made the optimization problem easier.",2014,Advances in neural information processing systems,Conference,seq2seq ,seq2seq,Sentence/Document Embedding,Original Research,Original Research,Yes,3,"Sutskever, Ilya and Vinyals, Oriol and Le, Quoc V","Sutskever, Ilya","Vinyals, Oriol","Le, Quoc",NA,NA,NA,NA,NA,NA,NA,Google ,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://proceedings.neurips.cc/paper_files/paper/2014/file/5a18e133cbf9f257297f410bb7eca942-Paper.pdf
conneau2017supervised,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,"Many modern NLP systems rely on word embeddings, previously trained in an unsupervised manner on large corpora, as base features. Efforts to obtain embeddings for larger chunks of text, such as sentences, have however not been so successful. Several attempts at learning unsupervised representations of sentences have not reached satisfactory enough performance to be widely adopted. In this paper, we show how universal sentence representations trained using the supervised data of the Stanford Natural Language Inference datasets can consistently outperform unsupervised methods like SkipThought vectors (Kiros et al., 2015) on a wide range of transfer tasks. Much like how computer vision uses ImageNet to obtain features, which can then be transferred to other tasks, our work tends to indicate the suitability of natural language inference for transfer learning to other NLP tasks. Our encoder is publicly available 1.",2017,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,Conference,BiLSTM + sentence level of CBOW,BiLSTM,Sentence/Document Embedding,Modified CBOW,Varient/Enhancement,Yes,5,"Conneau, Alexis and Kiela, Douwe and Schwenk, Holger and Barrault, Loïc and Bordes, Antoine","Conneau, Alexis","Kiela, Douwe","Schwenk, Holger","Barrault, Loïc","Bordes, Antoine",NA,NA,NA,NA,NA,Facebook,Facebook,Facebook,Le Mans University,Facebook,NA,NA,NA,NA,NA,NA,NA,USA,USA,France,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1705.02364
reimers2019sentence,Sentence-BERT: Sentence embeddings using Siamese BERT-Networks,"BERT (Devlin et al., 2018) and RoBERTa (Liu et al., 2019) have set a new state-of-the-art performance on sentence-pair regression tasks like semantic textual similarity (STS). However, it requires that both sentences are fed into the network, which causes a massive computational overhead: Finding the most similar pair in a collection of 10,000 sentences requires about 50 million inference computations (~65 hours) with BERT. The construction of BERT makes it unsuitable for semantic similarity search as well as for unsupervised tasks like clustering. In this publication, we present Sentence-BERT (SBERT), a modification of the pretrained BERT network that uses siamese and triplet network structures to derive semantically meaningful sentence embeddings that can be compared using cosine-similarity. This reduces the effort for finding the most similar pair from 65 hours with BERT / RoBERTa to about 5 seconds with SBERT, while maintaining the accuracy from BERT. We evaluate SBERT and SRoBERTa on common STS tasks and transfer learning tasks, where it outperforms other state-of-the-art sentence embeddings methods.",2019,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),Conference,SBERT: Use BERT in Siamese structure,BERT,Sentence/Document Embedding,BERT for sentence encoding,Varient/Enhancement,Yes,2,"Reimers, Nils and Gurevych, Iryna","Reimers, Nils","Gurevych, Iryna",NA,NA,NA,NA,NA,NA,NA,NA,Technical University of Darmstadt,Technical University of Darmstadt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German,German,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1908.10084
blei2003latent,Latent dirichlet allocation,"We describe latent Dirichlet allocation (LDA), a generative probabilistic model for collections of discrete data such as text corpora. LDA is a three-level hierarchical Bayesian model, in which each item of a collection is modeled as a finite mixture over an underlying set of topics. Each topic is, in turn, modeled as an infinite mixture over an underlying set of topic probabilities. In the context of text modeling, the topic probabilities provide an explicit representation of a document. We present efficient approximate inference techniques based on variational methods and an EM algorithm for empirical Bayes parameter estimation. We report results in document modeling, text classification, and collaborative filtering, comparing to a mixture of unigrams model and the probabilistic LSI model.",2003,Journal of machine Learning research,Journal Article,LDA,LDA,Statistical Representations,Original Research,Original Research,Yes,3,"Blei, David M and Ng, Andrew Y and Jordan, Michael I","Blei, David","Ng, Andrew","Jordan, Michael",NA,NA,NA,NA,NA,NA,NA,UC Berkeley,Stanford University,UC Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.jmlr.org/papers/volume3/blei03a/blei03a.pdf
deerwester1990indexing,Indexing by latent semantic analysis,"A new method for automatic indexing and retrieval is described. The approach is to take advantage of implicit higher-order structure in the association of terms with documents (""semantic structure"") in order to improve the detection of relevant documents on the basis of terms found in queries. The particular technique used is singular-value decomposition, in which a large term by document matrix is decomposed into a set of ca. 100 orthogonal factors from which the original matrix can be approximated by linear combination. Documents are represented by ca. 100 item vectors of factor weights. Queries are represented as pseudo-document vectors formed from weighted combinations of terms, and documents with supra-threshold cosine values are returned. Initial tests find this completely automatic method for retrieval to be promising.",1990,Journal of the American Society for Information Science,Journal Article,LSA/LSI,LSA/LSI,Statistical Representations,Original Research (the fundamentals of other category),Original Research,Yes,5,"Deerwester, Scott and Dumais, Susan T and Furnas, George W and Landauer, Thomas K and Harshman, Richard","Deerwester, Scott","Dumais, Susan","Furnas, George","Landauer, Thomas","Harshman, Richard",NA,NA,NA,NA,NA,University of Chicago,Bell Communications Research,University of Western Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://psychology.uwo.ca/faculty/harshman/latentsa.pdf
artetxe2019laser,Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond,"We introduce an architecture to learn joint multilingual sentence representations for 93 languages, belonging to more than 30 different families and written in 28 different scripts. Our system uses a single BiLSTM encoder with a shared byte-pair encoding vocabulary for all languages, which is coupled with an auxiliary decoder and trained on publicly available parallel corpora. This enables us to learn a classifier on top of the resulting embeddings using English annotated data only, and transfer it to any of the 93 languages without any modification. Our experiments in cross-lingual natural language inference (XNLI data set), cross-lingual document classification (MLDoc data set), and parallel corpus mining (BUCC data set) show the effectiveness of our approach. We also introduce a new test set of aligned sentences in 112 languages, and show that our sentence embeddings obtain strong results in multilingual similarity search even for low-resource languages. Our implementation, the pre-trained encoder, and the multilingual test set are available at https://github.com/facebookresearch/LASER.",2019,Transactions of the Association for Computational Linguistics,Journal Article,Original LASER -> BiLSTM-based encoder,LASER,Sentence/Document Embedding,Original Research,Original Research,Yes,2,"Artetxe, Mikel and Schwenk, Holger","Artetxe, Mikel","Schwenk, Holger",NA,NA,NA,NA,NA,NA,NA,NA,University of the Basque Country,Facebook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spain,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://watermark.silverchair.com/tacl_a_00288.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA0QwggNABgkqhkiG9w0BBwagggMxMIIDLQIBADCCAyYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMUbZN6Yz0_X_TlgXyAgEQgIIC9-Grh-FMEPGPkN0PtJxWhaztfWbmUUXXMvvNx_T_45cUwgj6dQtk18lzm3Vp6bAgre1FafxVt2F4WNEIKMCT7WJf3vKO1geNx-LOx6BnNEiscHb9ZMc6B5v2j3ZMSsoOm93NVMIBd6pdZ73Vfce6DVtlR7G3e6QsqcZg699dISgfxgL3gpG9z2aBn_xwOI__qqS9gM6WB2yaUWEEBgigHepnunlTwrPaO7DqYGNXhCNSKXKojtaF9myalJJmQ1KWrj5sv92_mcBnKfnGBHPZC0pw3FTRSIl8SVUd1TrctX1iwQ9Sz2RRgHj2fhGMg1RCi1Dr8ETH6m66sriOqNCh9lNV8HG4Gq1OxRX07hoAbnuwzUnznEVbrwjrMjKrlYwToFvw4kL0FeqjKvvQP32mMm1mKGB01c9EZ9KjAxl1Gd38GPgSjyIslzoFJQMwpinkW0e4F31WkTqSRIXUADh48lPtqnffigFx1ZNsom6GVj-Z9U_LgO4xaqFuPRIpahoHWlf5JQSOcQP2d7HVN6gt-GbU1FByYnjsD-YulFBGe0sNeQcMFqvW9npwcEeEjZmxlbx7I622D7FFY0wNjxfCE7en8cdhjN_6Gqa4Hh4IE9Hov6UjMQQikCOr1T_85fNFNddTgmLFDdDRQFu1m86XpbjErfhJbWMsIAmUiW2M_Jm9jbVkUrBuT1fy-3iKWsXklKaOFINpS2mfTJxbVFqjdH9T64-cCIRx4mFXJij35WeiiQsq4o9c0QUB-bmiyjX1kN4DlKZUC-6nCmGX6MHZkllqctoqAM4zIHFfqN4R6AVE3FwVN1142VFePNEnQ1W1v1xa_3osPCPnopDobmDzxKZ23_ILj6sTI1shl7-Sew_72hDYE11FcFdPDRinlurKkJiKtbqnSqOH0VDTIfJcwfi5MMd5d-Qv1CPdkHNjkAZuTbopeY3j8bgUYotmG0undyko0O2G4QMz8acgn3tnkDlBukkhK0TqMbDukrdb17fWDamPCb_Jjg
heffernan2022bitext,Bitext Mining Using Distilled Sentence Representations for Low-Resource Languages,"Scaling multilingual representation learning beyond the hundred most frequent languages is challenging, in particular to cover the long tail of low-resource languages. A promising approach has been to train one-for-all multilingual models capable of cross-lingual transfer, but these models often suffer from insufficient capacity and interference between unrelated languages. Instead, we move away from this approach and focus on training multiple language (family) specific representations, but most prominently enable all languages to still be encoded in the same representational space. To achieve this, we focus on teacher-student training, allowing all encoders to be mutually compatible for bitext mining, and enabling fast learning of new languages. We introduce a new teacher-student training scheme which combines supervised and self-supervised training, allowing encoders to take advantage of monolingual training data, which is valuable in the low-resource setting. Our approach significantly outperforms the original LASER encoder. We study very low-resource languages and handle 50 African languages, many of which are not covered by any other model. For these languages, we train sentence encoders, mine bitexts, and validate the bitexts by training NMT systems.",2022,Findings of the Association for Computational Linguistics: EMNLP 2022,Conference,Introduce LASER2 (LASER + advanced tokenization methods and training strategies ),LASER,Sentence/Document Embedding,Enhancement of LASER,Varient/Enhancement,Yes,3,"Heffernan, Kevin and Çelebi, Onur and Schwenk, Holger","Heffernan, Kevin","Çelebi, Onur","Schwenk, Holger",NA,NA,NA,NA,NA,NA,NA,Meta,Meta ,Meta,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/2205.12654
levy2014neural,Neural Word Embedding as Implicit Matrix Factorization,"We analyze skip-gram with negative-sampling (SGNS), a word embedding method introduced by Mikolov et al., and show that it is implicitly factorizing a word-context matrix, whose cells are the pointwise mutual information (PMI) of the respective word and context pairs, shifted by a global constant. We find that another embedding method, NCE, is implicitly factorizing a similar matrix, where each cell is the (shifted) log conditional probability of a word given its context. We show that using a sparse Shifted Positive PMI word-context matrix to represent words improves results on two word similarity tasks and one of two analogy tasks. When dense low-dimensional vectors are preferred, exact factorization with SVD can achieve solutions that are at least as good as SGNS’s solutions for word similarity tasks. On analogy questions SGNS remains superior to SVD. We conjecture that this stems from the weighted nature of SGNS’s factorization.",2014,NeurIPS,Conference,Deepen the understsanding of word2vec,word2vec,Static Word Embeddings,Theoretical Explanation of word2vec,Varient/Enhancement,Yes,2,"Levy, Omer and Goldberg, Yoav","Levy, Omer","Goldberg, Yoav",NA,NA,NA,NA,NA,NA,NA,NA,Bar-Ilan University,Bar-Ilan University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Israel,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://proceedings.neurips.cc/paper_files/paper/2014/file/b78666971ceae55a8e87efb7cbfd9ad4-Paper.pdf
mu2018all,All-but-the-Top: Simple and Effective Postprocessing for Word Representations,"Real-valued word representations have transformed NLP applications; popular examples are word2vec and GloVe, recognized for their ability to capture linguistic regularities. In this paper, we demonstrate a very simple, and yet counter-intuitive, postprocessing technique – eliminate the common mean vector and a few top dominating directions from the word vectors – that renders off-the-shelf representations even stronger. The postprocessing is empirically validated on a variety of lexical-level intrinsic tasks (word similarity, concept categorization, word analogy) and sentence-level tasks (semantic textural similarity and text classification) on multiple datasets and with a variety of representation methods and hyperparameter choices in multiple languages; in each case, the processed representations are consistently better than the original ones.",2018,arXiv preprint arXiv:1702.01417,Working Paper,Static Word Embedding Paradigm + All-but-the-Top,All-but-the-Top,Static Word Embeddings,All-but-the-Top as Post-processing Enhancement Method,Original Research,Yes,3,"Mu, Jiaqi and Bhat, Suma and Viswanath, Pramod","Mu, Jiaqi","Bhat, Suma","Viswanath, Pramod",NA,NA,NA,NA,NA,NA,NA,University of Illinois at Urbana-Champaign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1702.01417
raffel2019exploring,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP). The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice. In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts all text-based language problems into a text-to-text format. Our systematic study compares pre-training objectives, architectures, unlabeled data sets, transfer approaches, and other factors on dozens of language understanding tasks. By combining the insights from our exploration with scale and our new “Colossal Clean Crawled Corpus”, we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more. To facilitate future work on transfer learning for NLP, we release our data set, pre-trained models, and code.",2020,Journal of machine learning research,Journal Article,T5 (encoder-decoder Transformer architecture + Innovative Modified),T5,Contextual Word Embeddings,Enhancement of Transformer,Varient/Enhancement,Yes,9,"Raffel, Colin and Shazeer, Noam and Roberts, Adam and Lee, Katherine and Narang, Sharan and Matena, Michael and Zhou, Yanqi and Li, Wei and Liu, Peter","Raffel, Colin","Shazeer, Noam","Roberts, Adam","Lee, Katherine","Narang, Sharan","Matena, Michael","Zhou, Yanqi","Li, Wei","Liu, Peter",NA,Google ,Google ,Google ,Google ,Google ,Google ,Google ,Google ,Google ,NA,NA,NA,USA,USA,USA,USA,USA,USA,USA,USA,USA,NA,NA,NA,https://www.jmlr.org/papers/volume21/20-074/20-074.pdf
lample2019cross,Cross-lingual Language Model Pretraining,"Recent studies have demonstrated the efficiency of generative pretraining for English natural language understanding. In this work, we extend this approach to multiple languages and show the effectiveness of cross-lingual pretraining. We propose two methods to learn cross-lingual language models (XLMs): one unsupervised that only relies on monolingual data, and one supervised that leverages parallel data with a new cross-lingual language model objective. We obtain state-of-the-art results on cross-lingual classification, unsupervised and supervised machine translation. On XNLI, our approach pushes the state of the art by an absolute gain of 4.9% accuracy. On unsupervised machine translation, we obtain 34.3 BLEU on WMT’16 German-English, improving the previous state of the art by more than 9 BLEU. On supervised machine translation, we obtain a new state of the art of 38.5 BLEU on WMT’16 Romanian-English, outperforming the previous best approach by more than 4 BLEU. Our code and pretrained models are publicly available.",2019,Advances in neural information processing systems,Conference,XLM (BERT with cross-lingual pretraining),BERT,Contextual Word Embeddings,Enhancement of BERT ,Varient/Enhancement,Yes,2,"Lample, Guillaume and Conneau, Alexis","Lample, Guillaume","Conneau, Alexis",NA,NA,NA,NA,NA,NA,NA,NA,Facebook,Le Mans University,Facebook,Sorbonne University,NA,NA,NA,NA,NA,NA,NA,NA,USA,France,USA,France,NA,NA,NA,NA,NA,NA,NA,NA,https://proceedings.neurips.cc/paper/2019/file/c04c19c2c2474dbf5f7ac4372c5b9af1-Paper.pdf
conneau2020unsupervised,Unsupervised Cross-lingual Representation Learning at Scale,"This paper shows that pretraining multilingual language models at scale leads to significant performance gains for a wide range of cross-lingual transfer tasks. We train a Transformer-based masked language model on one hundred languages, using more than two terabytes of filtered CommonCrawl data. Our model, dubbed XLM-R, significantly outperforms multilingual BERT (mBERT) on a variety of cross-lingual benchmarks, including +14.6% average accuracy on XNLI, +13% average F1 score on MLQA, and +2.4% F1 score on NER. XLM-R performs particularly well on low-resource languages, improving 15.7% in XNLI accuracy for Swahili and 11.4% for Urdu over previous XLM models. We also present a detailed empirical analysis of the key factors that are required to achieve these gains, including the trade-offs between (1) positive transfer and capacity dilution and (2) the performance of high and low resource languages at scale. Finally, we show, for the first time, the possibility of multilingual modeling without sacrificing per-language performance; XLM-R is very competitive with strong monolingual models on the GLUE and XNLI benchmarks. We will make our code, data and models publicly available.",2020,Proceedings of the 57th annual meeting of the association for computational linguistics: Tutorial abstracts,Conference,XLM-R (scale XLM even further),BERT,Contextual Word Embeddings,Scale XLM (also an Enhancement of BERT),Varient/Enhancement,Yes,10,"Conneau, Alexis and Khandelwal, Kartikay and Goyal, Naman and Chaudhary, Vishrav and Wenzek, Guillaume and Guzmán, Francisco and Grave, Edouard and Ott, Myle and Zettlemoyer, Luke and Stoyanov, Veselin","Conneau, Alexis","Khandelwal, Kartikay","Goyal, Naman","Chaudhary, Vishrav","Wenzek, Guillaume","Guzmán, Francisco","Grave, Edouard","Ott, Myle","Zettlemoyer, Luke","Stoyanov, Veselin",Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,NA,NA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,NA,NA,https://arxiv.org/pdf/1911.02116
he2020deberta,DeBERTa: Decoding-Enhanced BERT with Disentangled Attention,"Recent progress in pre-trained neural language models has significantly improved the performance of many natural language processing (NLP) tasks. In this paper we propose a new model architecture DeBERTa (Decoding-enhanced BERT with disentangled attention) that improves the BERT and RoBERTa models using two novel techniques. The first is the disentangled attention mechanism, where each word is represented using two vectors that encode its content and position, respectively, and the attention weights among words are computed using disentangled matrices on their contents and relative positions, respectively. Second, an enhanced mask decoder is used to incorporate absolute positions in the decoding layer to predict the masked tokens in model pre-training. In addition, a new virtual adversarial training method is used for fine-tuning to improve models’ generalization. We show that these techniques significantly improve the efficiency of model pre-training and the performance of both natural language understanding (NLU) and natural language generation (NLG) downstream tasks. Compared to RoBERTa-Large, a DeBERTa model trained on half of the training data performs consistently better on a wide range of NLP tasks, achieving improvements on MNLI by +0.9% (90.2% vs. 91.1%), on SQuAD v2.0 by +2.3% (88.4% vs. 90.7%) and RACE by +3.6% (83.2% vs. 86.8%). Notably, we scale up DeBERTa by training a larger version that consists of 48 Transform layers with 1.5 billion parameters. The significant performance boost makes the single DeBERTa model surpass the human performance on the SuperGLUE benchmark (Wang et al., 2019a) for the first time in terms of macro-average score (89.9 versus 89.8), and the ensemble DeBERTa model sits atop the SuperGLUE leaderboard as of January 6, 2021, outperforming the human baseline by a decent margin (90.3 versus 89.8). The pre-trained DeBERTa models and the source code were released at: https://github.com/microsoft/DeBERTa.",2020,arXiv preprint arXiv:2006.03654,Working Paper,DeBERTa (BERT with architectural tweaks),BERT,Contextual Word Embeddings,Enhancements of BERT,Varient/Enhancement,Yes,4,"He, Pengcheng and Liu, Xiaodong and Gao, Jianfeng and Chen, Weizhu","He, Pengcheng","Liu, Xiaodong","Gao, Jianfeng","Chen, Weizhu",NA,NA,NA,NA,NA,NA,Microsoft,Microsoft,Microsoft,Microsoft,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/2006.03654
gao2021simcse,Simcse: Simple contrastive learning of sentence embeddings,"This paper presents SimCSE, a simple contrastive learning framework that greatly advances state-of-the-art sentence embeddings. We first describe an unsupervised approach, which takes an input sentence and predicts itself in a contrastive objective, with only standard dropout used as noise. This simple method works surprisingly well, performing on par with previous supervised counterparts. We find that dropout acts as minimal data augmentation, and removing it leads to a representation collapse. Then, we propose a supervised approach, which incorporates annotated pairs from natural language inference datasets into our contrastive learning framework by using “entailment” pairs as positives and “contradiction” pairs as hard negatives. We evaluate SimCSE on standard semantic textual similarity (STS) tasks, and our unsupervised and supervised models using BERTbase achieve an average of 76.3% and 81.6% Spearman’s correlation respectively, a 4.2% and 2.2% improvement compared to the previous best results. We also show—both theoretically and empirically—that the contrastive learning objective regularizes pre-trained embeddings’ anisotropic space to be more uniform, and it better aligns positive pairs when supervised signals are available.",2021,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Conference,SimCSE (a theoretical and practical advancement over SBERT),BERT,Sentence/Document Embedding,Enhancements of SBERT,Varient/Enhancement,Yes,3,"Gao, Tianyu and Yao, Xingcheng and Chen, Danqi","Gao, Tianyu","Yao, Xingcheng","Chen, Danqi",NA,NA,NA,NA,NA,NA,NA,Princeton University,Tsinghua University,Princeton University,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,China,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/2104.08821
logeswaran2018efficient,An efficient framework for learning sentence representations,"In this work we propose a simple and efficient framework for learning sentence representations from unlabelled data. Drawing inspiration from the distributional hypothesis and recent work on learning sentence representations, we reformulate the problem of predicting the context in which a sentence appears as a classification problem. Given a sentence and its context, a classifier distinguishes context sentences from other contrastive sentences based on their vector representations. This allows us to efficiently learn different types of encoding functions, and we show that the model learns high-quality sentence representations. We demonstrate that our sentence representations outperform state-of-the-art unsupervised and supervised representation learning methods on several downstream NLP tasks that involve understanding sentence semantics while achieving an order of magnitude speedup in training time.",2018,arXiv preprint arXiv:1803.02893,Working Paper,QuickThought (efficient variant of the Skip-Thought),seq2seq,Sentence/Document Embedding,Enhancements of Skip-thought (seq2seq),Varient/Enhancement,Yes,2,"Logeswaran, Lajanugen and Lee, Honglak","Logeswaran, Lajanugen","Lee, Honglak",NA,NA,NA,NA,NA,NA,NA,NA,University of Michigan,Google ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/1803.02893
feng2022labase,Language-agnostic BERT Sentence Embedding,"While BERT is an effective method for learning monolingual sentence embeddings for semantic similarity and embedding based transfer learning (Reimers and Gurevych, 2019), BERT based cross-lingual sentence embeddings have yet to be explored. We systematically investigate methods for learning multilingual sentence embeddings by combining the best methods for learning monolingual and cross-lingual representations including: masked language modeling (MLM), translation language modeling (TLM) (Conneau and Lample, 2019), dual encoder translation ranking (Guo et al., 2018), and additive margin softmax (Yang et al., 2019a). We show that introducing a pre-trained multilingual language model dramatically reduces the amount of parallel training data required to achieve good performance by 80%. Composing the best of these methods produces a model that achieves 83.7% bi-text retrieval accuracy over 112 languages on Tatoeba, well above the 65.5% achieved by Artetxe and Schwenk (2019b), while still performing competitively on monolingual transfer learning benchmarks (Conneau and Kiela, 2018). Parallel data mined from CommonCrawl using our best model is shown to train competitive NMT models for en-zh and en-de. We publicly release our best multilingual sentence embedding model for 109+ languages at https://tfhub.dev/google/LaBSE.",2022,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Conference,LaBSE ,BERT,Sentence/Document Embedding,Combination of USE + LASER,Varient/Enhancement,Yes,5,"Feng, Fangxiaoyu and Yang, Yinfei and Cer, Daniel and Arivazhagan, Naveen and Wang, Wei","Feng, Fangxiaoyu","Yang, Yinfei","Cer, Daniel","Arivazhagan, Naveen","Wang, Wei",NA,NA,NA,NA,NA,Google ,Google ,Google ,Google ,Google ,NA,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/2007.01852
dhingra2020differentiable,Differentiable Reasoning over a Virtual Knowledge Base,"We consider the task of answering complex multi-hop questions using a corpus as a virtual knowledge base (KB). In particular, we describe a neural module, DrKIT, that traverses textual data like a KB, softly following paths of relations between mentions of entities in the corpus. At each step the module uses a combination of sparse-matrix TFIDF indices and a maximum inner product search (MIPS) on a special index of contextual representations of the mentions. This module is differentiable, so the full system can be trained end-to-end using gradient based methods, starting from natural language inputs. We also describe a pretraining scheme for the contextual representation encoder by generating hard negative examples using existing knowledge bases. We show that DrKIT improves accuracy by 9 points on 3-hop questions in the MetaQA dataset, cutting the gap between text-based and KB-based state-of-the-art by 70%. On HotpotQA, DrKIT leads to a 10% improvement over a BERT-based re-ranking approach to retrieving the relevant passages required to answer a question. DrKIT is also very efficient, processing 10-100x more queries per second than existing multi-hop systems.",2020,ICLR,Conference,"Differentiable, neural extension of TF-IDF ",TF-IDF,Statistical Representations,Application of TF-IDF,Varient/Enhancement,Yes,6,"Dhingra, Bhuwan and Zaheer, Manzil and Balachandran, Vidhisha and Neubig, Graham and Salakhutdinov, Ruslan and Cohen, William W","Dhingra, Bhuwan"," Zaheer, Manzil","Balachandran, Vidhisha","Neubig, Graham ","Salakhutdinov, Ruslan","Cohen, William W",NA,NA,NA,NA,Carnegie Mellon University,Google ,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Google ,NA,NA,NA,NA,NA,NA,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,https://arxiv.org/pdf/2002.10640
